year_filed,act,agency
1994,2198,1266
1995,17672,10602
1996,37361,20858
1997,67424,35329
1998,68835,38117
1999,76476,41623
2000,75851,40740
2001,67786,38790
2002,75386,42290
2003,126856,61505
2004,144832,62448
2005,166518,64260
2006,187201,65985
2007,192247,78123
2008,194494,69527
2009,237010,83528
2010,227210,80228
2011,245304,76225
2012,242362,73816
2013,240907,71799
2014,243013,70323
2015,242107,68586
2016,213617,59696
