1994,2.5921052631578947
1995,2.9478182636077372
1996,3.052207911683533
1997,3.298606222722793
1998,3.3668922729836437
1999,3.5631593559133816
2000,3.6046949717432257
2001,3.6469076305220884
2002,3.810921191952806
2003,4.62056230640934
2004,4.785292728989613
2005,5.024804469273743
2006,5.597016624914598
2007,5.759243847342765
2008,5.816888266853278
2009,6.0271333885666944
2010,6.269518597118284
2011,6.784752842886981
2012,6.910558252427184
2013,7.197569927857233
2014,7.334435822414451
2015,7.543581820522724
2016,7.892371995820271
