year_filed,act,agency
1994,9.474137931034482,5.456896551724137
1995,7.906935123042508,4.743624161073826
1996,8.41653525568822,4.69880603739581
1997,9.332041522491348,4.889826989619379
1998,9.485324514262091,5.252445914289652
1999,10.050729399395452,5.470232619266659
2000,10.621901694440556,5.705083321663633
2001,10.781930968665499,6.169874343884206
2002,11.21648564201756,6.292218419877995
2003,14.807517217228899,7.179292634527839
2004,16.870355270821197,7.274082702387887
2005,18.23655678458,7.037564341255065
2006,20.972552095003362,7.392449025319292
2007,22.46401028277635,9.128651554101424
2008,22.51087962962963,8.047106481481482
2009,24.123155216284985,8.501577608142494
2010,24.96538841885507,8.815295022524998
2011,28.031539252656838,8.71043309336076
2012,29.00107694148618,8.832834749311953
2013,29.98220286247666,8.935780958307406
2014,30.41845036925773,8.80247840781074
2015,30.841656050955415,8.737070063694265
2016,31.722156222156222,8.864864864864865
